"t","x","y"
0.,0.7809496481471621,0.
0.03999481417682741,0.7795462764737062,0.04648720580337007
0.07998962835365482,0.7753414981913298,0.09280271806870766
0.11998444253048224,0.7683513018318281,0.13877551713617056
0.15997925670730964,0.7586022627694607,0.18423592826006302
0.19997407088413705,0.7461314352855991,0.2290162869733402
0.23996888506096448,0.7309862021230767,0.27295159597740704
0.27996369923779185,0.7132240821902895,0.31588017079274516
0.3199585134146193,0.6929124972582461,0.3576442714573164
0.3599533275914467,0.6701284986729127,0.39809071762347414
0.3999481417682741,0.6449584552794562,0.4370714844799543
0.4399429559451015,0.617497703923549,0.4744442770130347
0.47993777012192895,0.5878501640569525,0.5100730802197024
0.5199325842987563,0.5561279181294001,0.5438286829951823
0.5599273984755837,0.5224507595955861,0.5755891735368902
0.5999222126524112,0.48694571050422003,0.6052404042362066
0.6399170268292386,0.449746510764905,0.632676424167767
0.6799118410060659,0.41099308130751644,0.6577998774325657
0.7199066551828934,0.3708309634572257,0.6805223657653366
0.7599014693597208,0.3294107369458394,0.7007647739776454
0.7998962835365482,0.28688741906629367,0.7184575569751357
0.8398910977133757,0.2434198475515753,0.7335409872595793
0.879885911890203,0.19917004982171502,0.7459653620029296
0.9198807260670304,0.15430260129257267,0.7556911689606833
0.9598755402438579,0.10898397547771914,0.7626892106745358
0.9998703544206853,0.06338188863967548,0.7669406865987851
1.0398651685975127,0.01766464175904711,0.7684372329702569
1.07985998277434,-0.027999537410311803,0.7671809204268137
1.1198547969511674,-0.07344314944500022,0.7631842095638965
1.159849611127995,-0.11850007278505362,0.756469864801142
1.1998444253048224,-0.1630062050044495,0.7470708271110796
1.2398392394816498,-0.2068000931772686,0.7350300463383735
1.2798340536584771,-0.24972355075927147,0.7204002740102222
1.3198288678353045,-0.29162225847768586,0.7032438177055951
1.3598236820121319,-0.3323463468059915,0.6836322582121442
1.3998184961889593,-0.37175095769498157,0.6616461308542266
1.4398133103657869,-0.40969678333585974,0.6373745725227451
1.4798081245426142,-0.44605057984501484,0.6109149360768599
1.5198029387194416,-0.4806856538828128,0.5823723739184137
1.559797752896269,-0.5134823203495926,0.5518593926615777
1.5997925670730964,-0.5443283294403723,0.5194953809322795
1.6397873812499237,-0.5731192614848541,0.4854061124339384
1.6797821954267513,-0.5997588881503928,0.4497232265074986
1.7197770096035787,-0.6241594987419307,0.4125836884944055
1.759771823780406,-0.6462421904936748,0.3741292322806526
1.7997666379572335,-0.6659371219117275,0.3345057874581867
1.8397614521340608,-0.6831837283941375,0.2938628935865491
1.8797562663108882,-0.6979308995241242,0.2523531040725755
1.9197510804877158,-0.71013711760268,0.2101313822092106
1.9597458946645432,-0.7197705571575881,0.1673544919260127
1.9997407088413706,-0.7268091453362729,0.12418038580379115
2.039735523018198,-0.7312405832590085,0.0807675928941689
2.0797303371950253,-0.7330623285760912,0.037274608861835756
2.1197251513718527,-0.7322815396368234,-0.006140709066872332
2.15971996554868,-0.7289149818388466,-0.04932173991041963
2.1997147797255074,-0.7229888968827226,-0.09211368711038036
2.239709593902335,-0.7145388358080796,-0.13436415476406036
2.279704408079162,-0.7036094568333624,-0.17592370966918497
2.31969922225599,-0.6902542891607035,-0.21664642702292963
2.3596940364328174,-0.674535464040035,-0.25639041771079596
2.3996888506096448,-0.6565234145117511,-0.29501833522223025
2.439683664786472,-0.6362965453645368,-0.3323978603388117
2.4796784789632995,-0.6139408749538994,-0.36840216185676433
2.519673293140127,-0.5895496506271063,-0.40291033172774193
2.5596681073169543,-0.5632229395912809,-0.435807793129705
2.5996629214937816,-0.5350671971430138,-0.4669866801125157
2.639657735670609,-0.5051948142497868,-0.49634618759995686
2.6796525498474364,-0.47372364653555077,-0.5237928906704995
2.7196473640242638,-0.44077652677481344,-0.5492410321825929
2.759642178201091,-0.40648076304148717,-0.5726127779558012
2.7996369923779185,-0.37096762469045813,-0.5938384388660515
2.8396318065547463,-0.3343718183713955,-0.6128566593608447
2.8796266207315737,-0.2968309562857736,-0.6296145720478497
2.919621434908401,-0.2584850188995289,-0.6440679181570947
2.9596162490852285,-0.21947581431542768,-0.6561811338223541
2.999611063262056,-0.17994643649117503,-0.665927402270623
3.039605877438883,-0.1400407244619743,-0.6732886721491177
3.0796006916157106,-0.09990272468973105,-0.6782556423564449
3.119595505792538,-0.059676158615945815,-0.6808277138778478
3.1595903199693653,-0.019503897441708246,-0.6810129092531938
3.1995851341461927,0.02047255390328076,-0.678827760430111
3.23957994832302,0.06011356170985069,-0.6742971658728967
3.2795747624998475,0.09928185553991695,-0.6674542179100956
3.319569576676675,0.13784300564441604,-0.6583400014094961
3.3595643908535027,0.17566588410323064,-0.6470033649684478
3.39955920503033,0.21262310813594043,-0.6335006658994269
3.4395540192071574,0.2485914641313088,-0.617895490375467
3.479548833383985,0.2834523110469016,-0.6002583501771294
3.519543647560812,0.31709196193746675,-0.5806663575519452
3.5595384617376395,0.34940204248112994,-0.5592028797585527
3.599533275914467,0.38027982548548145,-0.5359571749209665
3.6395280900912943,0.40962854047064745,-0.5110240108634936
3.6795229042681217,0.43735765754287464,-0.4845032686337185
3.719517718444949,0.4633831448894266,-0.45649953244975205
3.7595125326217764,0.48762769934311184,-0.42712166782862754
3.799507346798604,0.5100209495819946,-0.396482389665431
3.8395021609754316,0.530499631646227,-0.36469782203762946
3.879496975152259,0.5490077365689604,-0.3318870515062719
3.9194917893290864,0.5654966300314427,-0.2981716756754879
3.9594866035059137,0.5799251440632058,-0.26367534875429555
3.999481417682741,0.5922596409162395,-0.22852332584034551
