"g","curve"
0.1,"{{9, 2.3052235426089468*^-9}, {10, 2.302721451409246*^-9}}"
0.5,"{{9, 0.000027572237332799904}, {10, 0.000027352590924198447}}"
1.,"{{9, 0.0008051674378343046}, {10, 0.000787289298773358}}"
1.5,"{{9, 0.001987842039641068}, {10, 0.0018522144087422677}}"
