"t","p1=0.1","p1=0.2","p1=0.3","p1=0.5"
0.,0.,0.,0.,0.
0.01,0.0032808088292130165,0.0014418376524012065,0.0005454602081815499,0.
0.02,0.006561596890176196,0.0028833480032050716,0.0010907379332312638,0.
0.03,0.009842343051105474,0.004324203626475418,0.0016356507156875771,0.
0.04,0.01312302545245689,0.0057640768477129995,0.0021800161434744596,0.
0.05,0.016403621141317003,0.007202639619860849,0.002723651875706615,0.
0.06,0.019684105703714785,0.008639563399654776,0.0032663756666294996,0.
0.07,0.02296445289415709,0.010074519024435706,0.003808005389738928,0.
0.08,0.02624463426168587,0.011507176589541711,0.004348359062124869,0.
0.09,0.029524618771749632,0.012937205326399484,0.004887254869083881,0.
0.1,0.03280437242317549,0.014364273481436795,0.005424511189044373,0.
0.11,0.03608385785952089,0.015788048195939885,0.005959946618848627,0.
0.12,0.039363033974075555,0.017208195386982525,0.006493379999435231,0.
0.13,0.04264185550777452,0.018624379629556216,0.0070246304419652,0.
0.14,0.045920272639273375,0.020036264040034578,0.007553517354434673,0.
0.15,0.04919823056642453,0.02144351016110847,0.008079860468816681,0.
0.16,0.052475669078381595,0.02284577784833236,0.008603479868773972,0.
0.17,0.05575252211754527,0.02424272515842685,0.009124196017984358,0.
0.18,0.05902871733054972,0.02563400823948672,0.009641829789119557,0.
0.19,0.06230417560747355,0.027019281223248936,0.010156202493517771,0.
0.2,0.06557881060844295,0.02839819611958009,0.01066713591158971,0.
0.21,0.06885252827677796,0.029770402713348562,0.011174452323996973,0.
0.22,0.072125226337815,0.03113554846385214,0.011677974543641027,0.
0.23,0.07539679378251993,0.03249327840697833,0.012177525948500087,0.
0.24,0.0786671103349873,0.03384323506028078,0.01267293051535049,0.
0.25,0.08193604590290102,0.03518505833116202,0.013164012854408162,0.
0.26,0.08520346001001174,0.03651838542835941,0.013650598244924695,0.
0.27,0.08846920120966485,0.037842850776938976,0.014132512671771812,0.
0.28,0.09173310647839242,0.0391580859370088,0.014609582863046554,0.
0.29,0.0949950005885594,0.04046371952637101,0.015081636328728602,0.
0.3,0.09825469545903494,0.04175937714734066,0.01554850140041992,0.
0.31,0.10151198948283528,0.04304468131796598,0.01601000727219538,0.
0.32,0.10476666683066485,0.044319251407894736,0.01646598404259209,0.
0.33,0.10801849672926006,0.04558270357913822,0.016916262757763326,0.
0.34,0.11126723271341946,0.04683465073199447,0.017360675455821747,0.
0.35000000000000003,0.11451261185058315,0.04807470245639991,0.01779905521239487,0.
0.36,0.11775435393680593,0.049302464988988125,0.01823123618741418,0.
0.37,0.12099216066294954,0.050517541176143474,0.018657053673157703,0.
0.38,0.12422571474990274,0.05171953044334555,0.019076344143563705,0.
0.39,0.12745467905162344,0.05290802877111033,0.019488945304831782,0.
0.4,0.1306786956247835,0.05408262867784246,0.01989469614732533,0.
0.41000000000000003,0.13389738476378682,0.05524291920992171,0.020293436998787495,0.
0.42,0.13711034399992394,0.05638848593935636,0.020685009578880666,0.
0.43,0.14031714706342172,0.05751891096934401,0.021069257055057168,0.
0.44,0.14351734280714737,0.05863377294808951,0.021446024099766904,0.
0.45,0.14671045409073033,0.05973264709123787,0.021815156949004957,0.
0.46,0.1498959766238742,0.060815105213287646,0.022176503462200133,0.
0.47000000000000003,0.15307337776764737,0.06188071576835872,0.022529913183442517,0.
0.48,0.15624209529256283,0.06292904390069483,0.022875237404045838,0.
0.49,0.1594015360922864,0.06395965150528907,0.02321232922643771,0.
0.5,0.16255107485185133,0.06497209729902563,0.023541043629367785,0.
0.51,0.1656900526693028,0.06596593690273832,0.023861237534421483,0.
0.52,0.1688177756297567,0.06694072293459019,0.024172769873823607,0.
0.53,0.1719335133309206,0.06789600511518351,0.024475501659513385,0.
0.54,0.1750364973592131,0.06883133038481318,0.02476929605346948,0.
0.55,0.17812591971570851,0.06974624303327848,0.025054018439259935,0.
0.56,0.18120093119124964,0.07064028484267092,0.025329536494789487,0.
0.5700000000000001,0.18426063969019743,0.07151299524355498,0.025595720266212672,0.
0.58,0.18730410850243656,0.07236391148495966,0.0258524422429782,0.
0.59,0.19033035452342395,0.07319256881859579,0.026099577433966632,0.
0.6,0.19333834642226017,0.07399850069771076,0.026337003444679638,0.
0.61,0.19632700275797813,0.07478123899098894,0.0265646005554359,0.
0.62,0.19929519004449098,0.07554031421189822,0.026782251800524796,0.
0.63,0.20224172076491187,0.07627525576387606,0.026989843048265613,0.
0.64,0.20516535133626573,0.07698559220173903,0.027187263081916206,0.
0.65,0.2080647800259542,0.07767085150968714,0.027374403681371128,0.
0.66,0.21093864482171282,0.07833056139626193,0.027551159705586022,0.
0.67,0.21378552125721909,0.07896424960660002,0.027717429175660363,0.
0.68,0.21660392019597524,0.07957144425230796,0.02787311335850793,0.
0.6900000000000001,0.21939228557659754,0.08015167415926147,0.028018116851039523,0.
0.7000000000000001,0.22214899212320727,0.0807044692336111,0.028152347664779205,0.
0.71,0.2248723430252335,0.08122936084625068,0.028275717310831543,0.
0.72,0.2275605675916122,0.0817258822359761,0.02838814088511296,0.
0.73,0.23021181888509673,0.08219356893153205,0.028489537153757197,0.
0.74,0.23282417134320252,0.08263195919271057,0.028579828638600552,0.
0.75,0.23539561839316755,0.08304059447062795,0.02865894170264915,0.
0.76,0.23792407006926136,0.0834190198872679,0.02872680663542671,0.
0.77,0.24040735064178292,0.08376678473433498,0.02878335773809755,0.
0.78,0.242843196268193,0.08408344299141758,0.028828533408256213,0.
0.79,0.24522925267799936,0.08436855386340944,0.02886227622427144,0.
0.8,0.24756307290428026,0.08462168233708658,0.028884533029068887,0.
0.81,0.24984211507608392,0.08484239975668166,0.028895255013233728,0.
0.8200000000000001,0.25206374028738243,0.08503028441823678,0.028894397797311136,0.
0.8300000000000001,0.2542252105597919,0.08518492218245512,0.02888192151317943,0.
0.84,0.25632368691789414,0.0853059071057057,0.028857790884368007,0.
0.85,0.25835622759771004,0.0853928420887655,0.028821975305189297,0.
0.86,0.26031978641067643,0.08544533954281283,0.028774448918551417,0.
0.87,0.2622112112873709,0.08546302207210887,0.028715190692315685,0.
0.88,0.26402724302719616,0.08544552317272781,0.02864418449406131,0.
0.89,0.26576451428228287,0.08539248794661317,0.028561419164117047,0.
0.9,0.26741954880598234,0.08530357383015551,0.028466888586718215,0.
0.91,0.2689887609984866,0.08517845133639988,0.02836059175914575,0.
0.92,0.2704684557843256,0.08501680480990255,0.028242532858702634,0.
0.93,0.27185482885872503,0.08481833319316656,0.02811272130738208,0.
0.9400000000000001,0.2731439673420554,0.08458275080349262,0.027971171834080846,0.
0.9500000000000001,0.2743318508838239,0.08430978811898882,0.027817904534210854,0.
0.96,0.2754143532598495,0.08399919257238675,0.02765294492656166,0.
0.97,0.27638724450836677,0.08365072935121697,0.027476324007266698,0.
0.98,0.27724619365280395,0.08326418220279994,0.027288078300726538,0.
0.99,0.2779867720608295,0.08283935424241365,0.027088249907342918,0.
1.,0.2786044574909135,0.08237606876290288,0.026876886547918633,0.
1.01,0.27909463887905583,0.0818741700439021,0.026654041604579407,0.
1.02,0.2794526219194378,0.08133352415875045,0.026419774158075948,0.
1.03,0.27967363549349356,0.08075401977708795,0.02617414902132612,0.
1.04,0.2797528390022047,0.08013556896103448,0.02591723676905976,0.
1.05,0.279685330656233,0.07947810795276838,0.02564911376343165,0.
1.06,0.2794661567777299,0.07878159795124282,0.025369862175470766,0.
1.07,0.27909032216623214,0.07804602587570207,0.02507957000223824,0.
1.08,0.27855280157887685,0.07727140511359033,0.02477833107956963,0.
1.09,0.277848552372163,0.07645777625038216,0.02446624509028198,0.
1.1,0.2769725283485562,0.07560520777880698,0.02414341756773046,0.
1.11,0.27591969484630424,0.07471379678488989,0.023809959894604566,0.
1.12,0.27468504510479863,0.07378366960819079,0.023465989296859308,0.
1.1300000000000001,0.2732636179306126,0.07281498247359132,0.023111628832682564,0.
1.1400000000000001,0.2716505166808922,0.0718079220919555,0.022747007376405854,0.
1.1500000000000001,0.26984092957099515,0.07076270622697851,0.022372259597272497,0.
1.16,0.26783015130213017,0.06967958422553544,0.02198752593298381,0.
1.17,0.2656136059921867,0.06855883750885167,0.021592952557951222,0.
1.18,0.2631868713789551,0.06740078002183833,0.021188691346189923,0.
1.19,0.2605457042495262,0.06620575863796982,0.02077489982879721,0.
1.2,0.2576860670328503,0.06497415351712721,0.02035174114596696,0.
1.21,0.25460415547429655,0.06370637841389261,0.019919383993500413,0.
1.22,0.25129642729168955,0.06240288093385121,0.019478002563781568,0.
1.23,0.24775963169183224,0.06106414273554782,0.019027776481195077,0.
1.24,0.24399083960515058,0.05969067967584401,0.018568890731973264,0.
1.25,0.23998747447402688,0.05828304189653942,0.01810153558846871,0.
1.26,0.235747343407906,0.056841813850249494,0.017625906527858087,0.
1.27,0.2312686684956722,0.05536761426367575,0.017142204145293098,0.
1.28,0.22655011804347935,0.05386109603656288,0.01665063406152403,0.
1.29,0.2215908374845783,0.052322946074806635,0.016151406825031602,0.
1.3,0.21639047968718392,0.050753885056361414,0.015644737808713036,0.
1.31,0.2109492343675373,0.04915466712879217,0.015130847101178353,0.
1.32,0.20526785629858801,0.04752607953752369,0.014609959392723255,0.
1.33,0.19934769199066113,0.04586894218405953,0.01408230385605534,0.
1.34,0.1931907045096572,0.044184107113672155,0.013548114021860477,0.
1.35,0.18679949609128454,0.04247245793230496,0.013007627649306523,0.
