"g","curve"
0.1,"{{5, 0.0017139883677191445}, {6, 0.00010816835090895383}, {7, 4.304133087646926*^-6}, {8, 1.1704413659978235*^-7}, {9, 2.3052235426089468*^-9}, {10, 3.434623263271577*^-11}}"
0.5,"{{5, 0.03475386176070017}, {6, 0.010148467996165884}, {7, 0.0019945991991614917}, {8, 0.0002743982460845091}, {9, 0.000027572237332799904}, {10, 2.0980834000134837*^-6}}"
1.,"{{5, 0.059388303323570917}, {6, 0.029099078216220292}, {7, 0.012198627134378191}, {8, 0.003673547827671765}, {9, 0.0008051674378343046}, {10, 0.00013219225602411266}}"
1.5,"{{5, 0.043388752292281965}, {6, 0.021614317340897575}, {7, 0.010806181559680515}, {8, 0.004922516465965309}, {9, 0.001987842039641068}, {10, 0.0005907040612160559}}"
